,County,Median Sale Price,Average Sale Price
395,Hartford,186677.76,224074.44
396,Hartford,194191.11,237789.11
397,Hartford,209217.8,245871.31
398,Hartford,217655.87,255384.43
399,Hartford,236959.39,278658.46
400,Hartford,239849.14,287582.54
401,Hartford,232913.74,289677.97
402,Hartford,210373.7,252153.73
403,Hartford,213841.4,258244.1
404,Hartford,214361.55,256623.85
405,Hartford,202282.4,249716.65
406,Hartford,193378.94,228108.62
407,Hartford,186553.8,228208.78
408,Hartford,193378.94,239141.34
409,Hartford,208109.87,274434.33
410,Hartford,207029.22,261820.68
411,Hartford,227504.64,309025.76
412,Hartford,224092.07,273885.83
413,Hartford,226224.92,279424.02
414,Hartford,210441.79,262303.07
415,Hartford,204754.17,249189.71
416,Hartford,210441.79,251368.3
417,Hartford,201341.6,239074.32
418,Hartford,181726.69,218686.73
419,Hartford,187464.24,245382.06
420,Hartford,204506.44,235942.22
421,Hartford,203370.29,239765.15
422,Hartford,207346.81,246332.68
423,Hartford,238590.85,279363.74
424,Hartford,222287.14,259886.6
425,Hartford,220866.95,267674.99
426,Hartford,215867.91,249458.31
427,Hartford,195985.34,237438.89
428,Hartford,198825.7,241634.38
429,Hartford,202720.42,239887.64
430,Hartford,190110.7,216875.09
431,Hartford,187642.46,218966.52
432,Hartford,196337.4,235772.26
433,Hartford,201947.04,241480.14
434,Hartford,218775.96,256652.13
435,Hartford,224273.41,300758.78
436,Hartford,229995.24,268259.26
437,Hartford,229995.24,272211.61
438,Hartford,218775.96,253539.4
439,Hartford,218775.96,317759.45
440,Hartford,202732.39,232428.27
441,Hartford,207556.68,239070.21
442,Hartford,197720.79,248096.5
443,Hartford,190251.34,273052.74
444,Hartford,193326.99,220567.98
445,Hartford,198324.93,229754.14
446,Hartford,214197.52,245379.44
447,Hartford,225182.01,258683.17
448,Hartford,230674.25,268173.49
449,Hartford,219689.76,267091.6
450,Hartford,214563.85,243630.84
451,Hartford,210902.17,243996.39
452,Hartford,214197.52,239667.93
453,Hartford,208705.28,239575.31
454,Hartford,184979.83,216781.06
455,Hartford,183650.12,207648.52
456,Hartford,199188.43,232295.34
457,Hartford,203745.9,237394.26
458,Hartford,214469.37,246410.84
459,Hartford,235916.31,263136.48
460,Hartford,241170.81,276854.7
461,Hartford,229482.23,267510.21
462,Hartford,195167.13,229008.54
463,Hartford,203745.9,235523.51
464,Hartford,197579.91,237580.1
465,Hartford,211252.33,245475.52
466,Hartford,184320.61,217661.5
467,Hartford,189586.91,209942.56
468,Hartford,200119.52,231277.44
469,Hartford,210652.13,237197.61
470,Hartford,216971.69,246991.83
471,Hartford,228557.56,258445.94
472,Hartford,236983.64,272717.15
473,Hartford,226451.03,255236.43
474,Hartford,215918.43,248648.19
475,Hartford,220131.47,240450.16
476,Hartford,207492.34,234576.32
477,Hartford,210652.13,238214.86
478,Hartford,202853.45,232663.22
479,Hartford,195051.4,220308.91
480,Hartford,213256.19,233712.47
481,Hartford,233021.4,251946.41
482,Hartford,228860.31,256934.71
483,Hartford,239263.05,269628.63
484,Hartford,246440.94,272292.32
485,Hartford,254815.14,287344.15
486,Hartford,248625.51,280260.72
487,Hartford,254867.16,276417.4
488,Hartford,244464.42,272187.22
489,Hartford,244464.42,285331.37
