Y,X,X1,X2,X3,X4,X5
France,82.57804878,81.41463415,78.75609756,76.34878049,73.85121951,71.45853659
French Polynesia,77.657,75.363,71.946,68.424,63.916,59.827
Gabon,66.467,60.637,58.646,60.865,54.452,46.255
"Gambia, The",62.05,59.334,55.547,51.892,45.533,37.023
Georgia,73.767,71.18,69.756,70.425,69.665,67.136
Germany,80.94146341,79.83658537,77.72682927,75.01314634,72.40853659,70.55068293
Ghana,64.074,60.645,56.972,56.271,51.984,49.057
Greece,81.93902439,80.18780488,77.98780488,76.68780488,73.32936585,70.58929268
Grenada,72.397,72.96,72.455,69.292,67.723,65.352
Guam,80.074,77.71,74.646,71.687,68.947,65.239
Guatemala,74.302,71.108,67.351,61.735,56.84,51.889
Guinea,61.602,56.279,51.295,49.247,40.667,36.421
Guinea-Bissau,58.322,54.113,49.999,46.783,43.697,40.333
Guyana,69.906,67.792,64.964,63.159,62.427,61.697
Haiti,64.001,60.148,56.891,53.949,50.635,45.573
Honduras,75.27,73.061,70.378,66.229,58.851,51.921
"Hong Kong SAR, China",85.07804878,82.77560976,80.38292683,77.02926829,73.67317073,71.04456098
Hungary,76.02195122,73.90487805,70.67707317,69.46170732,69.61536585,69.31463415
Iceland,82.56097561,81.75121951,79.35121951,78.14097561,76.77317073,73.77634146
